Dia,Cuenta,Red Social,Tipo de publicacion,Enlace,Comentario,Tema principal,Mes
08-jul,abogadodeextranjeria,Instagram,Post,https://www.instagram.com/abogadodeextranjeria/p/DZ-zjjIR5Cx/,El link es https://www.venturaextranjeria.co/appointment/10 y solo es visible para las personas que se encuentran en Colombia🇨🇴,,Julio
08-jul,tramitex.es,Instagram,Post,https://www.instagram.com/tramitex.es/p/DaiSlykIxs2/,"Buenas noches, Pero las Razones Humanitarias no están suspendidas? Yo llegué en Mayo, puedo optar también. Por favor.",,Julio
08-jul,tramitex.es,Instagram,Post,https://www.instagram.com/tramitex.es/p/Dacs2-jKcZv/,Tengo admiso en trámite pero aún no lo he encontrado. Esto afectará mi expediente? Solo abrí la solicitud hace cuatro días.,,Julio
08-jul,tramitex.es,Instagram,Post,https://www.instagram.com/tramitex.es/p/DaU9M-6KOP8/,Pero hay empresas que no aceptan ese permiso para trabajar.,,Julio
08-jul,tramitex.es,Instagram,Post,https://www.instagram.com/tramitex.es/p/DaU9M-6KOP8/,Porque está llegando el número de seguridad social primero ? Estoy solo con esa notificación desde el 17 de abril 😢,,Julio
